Token,Item Name,Variation Name,Reporting Category,Description,SKU,Price
,Dulce De Leche,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Cookies N Cream,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Cinnamon Toast Crunch,Regular,Shakes & Smoothies,16g protein 20oz,,7.50
,Cinnamon Roll,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Cinn-a-Bun,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Cafe Latte,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Butterfingers,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Brownie Batter,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Blue Pina Smoothie,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Blue Banana,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Birthday Cake,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Banana Muffin,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Banana Colada,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Banana Carmel,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Banana Bread Gourmet,Regular,Shakes & Smoothies,"24g protein , 32oz cup 190 calories",,9.68
,Mint Chocolate,Regular,Shakes & Smoothies,16g protein,,7.50
,Banana Peanut Cookie,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Banana Foster,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Caramel Latte,Regular,Shakes & Smoothies,"16g protein , 20oz cup 190 calories",,7.50
,Strawberry Cheesecake,Regular,Shakes & Smoothies,16g protein,,7.50
,Red Velvet Smoothie,Regular,Shakes & Smoothies,"16g protein, 190 calories 20 oz cup",,7.50
,Vegan Vanilla Shake 20g,Regular,Shakes & Smoothies,Plant Bast Vegan Line 20g protein,,5.00
,Vegan Chocolate 20g,Regular,Shakes & Smoothies,Plant-Base Chocolate Vegan 20g,,5.00
,Pumpkin Smoothie,Regular,Shakes & Smoothies,20oz Pumpkin Spice 16g protein,,7.50
,Rebuild to-go,Regular,Shakes & Smoothies,Rebuild,,6.00
,Key Lime Pie Gourmet,Regular,Shakes & Smoothies,"24g protein, B6 and B12",,9.68
,Strawberrry Boba,Regular,Shakes & Smoothies,"24g protein, Popping Boba on top",,9.68
,Chocolate Covered Strawberry,Regular,Shakes & Smoothies,"Gourmet smoothie topped with fresh strawberry, chocolate sprinkles, and whipped cream",,9.68
,Walk to Remember,Regular,Shakes & Smoothies,Wild berry & Ducle topped with whipped Cream and granola.,,9.68
